date,network,daypart,viewers
201407,A,"S,Su 1:00 PM - 8:00 PM",339
201407,B,"S,Su 1:00 PM - 8:00 PM",525
201407,A,"M,T,W,R,F 6:00 AM - 10:00 AM",120
201407,B,"M,T,W,R,F 6:00 AM - 10:00 AM",208
201407,A,"M,T,W,R,F 10:00 AM - 1:00 PM",137
201407,B,"M,T,W,R,F 10:00 AM - 1:00 PM",275
201407,A,"M,T,W,R,F 1:00 PM - 4:00 PM",161
201407,B,"M,T,W,R,F 1:00 PM - 4:00 PM",315
201407,A,"M,T,W,R,F 4:00 PM - 6:00 PM",204
201407,B,"M,T,W,R,F 4:00 PM - 6:00 PM",362
201407,A,"M,T,W,R,F 6:00 PM - 8:00 PM",283
201407,B,"M,T,W,R,F 6:00 PM - 8:00 PM",503
201407,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",620
201407,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",924
201407,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",409
201407,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",540
201407,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",224
201407,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",291
201407,A,"S,Su 6:00 AM - 8:00 AM",121
201407,B,"S,Su 6:00 AM - 8:00 AM",0
201408,A,"S,Su 8:00 AM - 1:00 PM",207
201408,B,"S,Su 8:00 AM - 1:00 PM",433
201408,A,"S,Su 1:00 PM - 8:00 PM",279
201408,B,"S,Su 1:00 PM - 8:00 PM",696
201408,A,"M,T,W,R,F 6:00 AM - 10:00 AM",109
201408,B,"M,T,W,R,F 6:00 AM - 10:00 AM",176
201408,A,"M,T,W,R,F 10:00 AM - 1:00 PM",133
201408,B,"M,T,W,R,F 10:00 AM - 1:00 PM",312
201408,A,"M,T,W,R,F 1:00 PM - 4:00 PM",172
201408,B,"M,T,W,R,F 1:00 PM - 4:00 PM",386
201408,A,"M,T,W,R,F 4:00 PM - 6:00 PM",193
201408,B,"M,T,W,R,F 4:00 PM - 6:00 PM",470
201408,A,"M,T,W,R,F 6:00 PM - 8:00 PM",275
201408,B,"M,T,W,R,F 6:00 PM - 8:00 PM",679
201408,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",578
201408,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1249
